ubx537:20000 lbx537:2000
ubx538:0 lbx538:0
ubx539:0 lbx539:0
ubx540:70 lbx540:44.7857
ubx541:70 lbx541:44.7857
ubx542:70 lbx542:44.7857
ubx543:70 lbx543:44.7857
ubx544:inf lbx544:0
ubx545:16000 lbx545:1600
ubx546:20000 lbx546:2000
ubx547:0 lbx547:0
ubx548:0 lbx548:0
ubx549:70 lbx549:44.7202
ubx550:70 lbx550:44.7202
ubx551:70 lbx551:44.7202
ubx552:70 lbx552:44.7202
ubx553:inf lbx553:0
ubx554:16000 lbx554:1600
ubx555:20000 lbx555:2000
ubx556:0 lbx556:0
ubx557:0 lbx557:0
ubx558:70 lbx558:44.6548
ubx559:70 lbx559:44.6548
ubx560:70 lbx560:44.6548
ubx561:70 lbx561:44.6548
ubx562:inf lbx562:0
ubx563:16000 lbx563:1600
ubx564:20000 lbx564:2000
ubx565:0 lbx565:0
ubx566:0 lbx566:0
ubx567:70 lbx567:44.5893
ubx568:70 lbx568:44.5893
ubx569:70 lbx569:44.5893
ubx570:70 lbx570:44.5893
ubx571:inf lbx571:0
ubx572:16000 lbx572:1600
ubx573:20000 lbx573:2000
ubx574:0 lbx574:0
ubx575:0 lbx575:0
ubx576:70 lbx576:44.5238
ubx577:70 lbx577:44.5238
ubx578:70 lbx578:44.5238
ubx579:70 lbx579:44.5238
ubx580:inf lbx580:0
ubx581:16000 lbx581:1600
ubx582:20000 lbx582:2000
ubx583:0 lbx583:0
ubx584:0 lbx584:0
ubx585:70 lbx585:44.4345
ubx586:70 lbx586:44.4345
ubx587:70 lbx587:44.4345
ubx588:70 lbx588:44.4345
ubx589:inf lbx589:0
ubx590:16000 lbx590:1600
ubx591:20000 lbx591:2000
ubx592:0 lbx592:0
ubx593:0 lbx593:0
ubx594:70 lbx594:44.3452
ubx595:70 lbx595:44.3452
ubx596:70 lbx596:44.3452
ubx597:70 lbx597:44.3452
ubx598:inf lbx598:0
ubx599:16000 lbx599:1600
ubx600:20000 lbx600:2000
ubx601:0 lbx601:0
ubx602:0 lbx602:0
ubx603:70 lbx603:44.256
ubx604:70 lbx604:44.256
ubx605:70 lbx605:44.256
ubx606:70 lbx606:44.256
ubx607:inf lbx607:0
ubx608:16000 lbx608:1600
ubx609:20000 lbx609:2000
ubx610:0 lbx610:0
ubx611:0 lbx611:0
ubx612:70 lbx612:44.1667
ubx613:70 lbx613:44.1667
ubx614:70 lbx614:44.1667
ubx615:70 lbx615:44.1667
ubx616:inf lbx616:0
ubx617:16000 lbx617:1600
ubx618:20000 lbx618:2000
ubx619:0 lbx619:0
ubx620:0 lbx620:0
ubx621:70 lbx621:44.2143
ubx622:70 lbx622:44.2143
ubx623:70 lbx623:44.2143
ubx624:70 lbx624:44.2143
ubx625:inf lbx625:0
ubx626:16000 lbx626:1600
ubx627:20000 lbx627:2000
ubx628:0 lbx628:0
ubx629:0 lbx629:0
ubx630:70 lbx630:44.2619
ubx631:70 lbx631:44.2619
ubx632:70 lbx632:44.2619
ubx633:70 lbx633:44.2619
ubx634:inf lbx634:0
ubx635:16000 lbx635:1600
ubx636:20000 lbx636:2000
ubx637:0 lbx637:0
ubx638:0 lbx638:0
ubx639:70 lbx639:44.3095
ubx640:70 lbx640:44.3095
ubx641:70 lbx641:44.3095
ubx642:70 lbx642:44.3095
ubx643:inf lbx643:0
ubx644:16000 lbx644:1600
ubx645:20000 lbx645:2000
ubx646:0 lbx646:0
ubx647:0 lbx647:0
ubx648:70 lbx648:44.3571
ubx649:70 lbx649:44.3571
ubx650:70 lbx650:44.3571
ubx651:70 lbx651:44.3571
ubx652:inf lbx652:0
ubx653:16000 lbx653:1600
ubx654:20000 lbx654:2000
ubx655:0 lbx655:0
ubx656:0 lbx656:0
ubx657:70 lbx657:44.375
ubx658:70 lbx658:44.375
ubx659:70 lbx659:44.375
ubx660:70 lbx660:44.375
ubx661:inf lbx661:0
ubx662:16000 lbx662:1600
ubx663:20000 lbx663:2000
ubx664:0 lbx664:0
ubx665:0 lbx665:0
ubx666:70 lbx666:44.3929
ubx667:70 lbx667:44.3929
ubx668:70 lbx668:44.3929
ubx669:70 lbx669:44.3929
ubx670:inf lbx670:0
ubx671:16000 lbx671:1600
ubx672:20000 lbx672:2000
ubx673:0 lbx673:0
ubx674:0 lbx674:0
ubx675:70 lbx675:44.4107
ubx676:70 lbx676:44.4107
ubx677:70 lbx677:44.4107
ubx678:70 lbx678:44.4107
ubx679:inf lbx679:0
ubx680:16000 lbx680:1600
ubx681:20000 lbx681:2000
ubx682:0 lbx682:0
ubx683:0 lbx683:0
ubx684:70 lbx684:44.4286
ubx685:70 lbx685:44.4286
ubx686:70 lbx686:44.4286
ubx687:70 lbx687:44.4286
ubx688:inf lbx688:0
ubx689:16000 lbx689:1600
ubx690:20000 lbx690:2000
ubx691:0 lbx691:0
ubx692:0 lbx692:0
ubx693:70 lbx693:44.494
ubx694:70 lbx694:44.494
ubx695:70 lbx695:44.494
ubx696:70 lbx696:44.494
ubx697:inf lbx697:0
ubx698:16000 lbx698:1600
ubx699:20000 lbx699:2000
ubx700:0 lbx700:0
ubx701:0 lbx701:0
ubx702:70 lbx702:44.5595
ubx703:70 lbx703:44.5595
ubx704:70 lbx704:44.5595
ubx705:70 lbx705:44.5595
ubx706:inf lbx706:0
ubx707:16000 lbx707:1600
ubx708:20000 lbx708:2000
ubx709:0 lbx709:0
